14;Mark;Philips;Telus;8210 111 ST NW;Edmonton;AB;Canada;T6G 2C7;+1 (780) 434-4554;+1 (780) 434-5565;mphilips12@shaw.ca;5
15;Jennifer;Peterson;Rogers Canada;700 W Pender Street;Vancouver;BC;Canada;V6C 1G8;+1 (604) 688-2255;+1 (604) 688-8756;jenniferp@rogers.ca;3
16;Frank;Harris;Google Inc.;1600 Amphitheatre Parkway;Mountain View;CA;USA;94043-1351;+1 (650) 253-0000;+1 (650) 253-0000;fharris@google.com;4
17;Jack;Smith;Microsoft Corporation;1 Microsoft Way;Redmond;WA;USA;98052-8300;+1 (425) 882-8080;+1 (425) 882-8081;jacksmith@microsoft.com;5
18;Michelle;Brooks;\N;627 Broadway;New York;NY;USA;10012-2612;+1 (212) 221-3546;+1 (212) 221-4679;michelleb@aol.com;3
19;Tim;Goyer;Apple Inc.;1 Infinite Loop;Cupertino;CA;USA;95014;+1 (408) 996-1010;+1 (408) 996-1011;tgoyer@apple.com;3
20;Dan;Miller;\N;541 Del Medio Avenue;Mountain View;CA;USA;94040-111;+1 (650) 644-3358;\N;dmiller@comcast.com;4
21;Kathy;Chase;\N;801 W 4th Street;Reno;NV;USA;89503;+1 (775) 223-7665;\N;kachase@hotmail.com;5
22;Heather;Leacock;\N;120 S Orange Ave;Orlando;FL;USA;32801;+1 (407) 999-7788;\N;hleacock@gmail.com;4
23;John;Gordon;\N;69 Salem Street;Boston;MA;USA;2113;+1 (617) 522-1333;\N;johngordon22@yahoo.com;4
24;Frank;Ralston;\N;162 E Superior Street;Chicago;IL;USA;60611;+1 (312) 332-3232;\N;fralston@gmail.com;3
25;Victor;Stevens;\N;319 N. Frances Street;Madison;WI;USA;53703;+1 (608) 257-0597;\N;vstevens@yahoo.com;5
26;Richard;Cunningham;\N;2211 W Berry Street;Fort Worth;TX;USA;76110;+1 (817) 924-7272;\N;ricunningham@hotmail.com;4
27;Patrick;Gray;\N;1033 N Park Ave;Tucson;AZ;USA;85719;+1 (520) 622-4200;\N;patrick.gray@aol.com;4
28;Julia;Barnett;\N;302 S 700 E;Salt Lake City;UT;USA;84102;+1 (801) 531-7272;\N;jubarnett@gmail.com;5
29;Robert;Brown;\N;796 Dundas Street West;Toronto;ON;Canada;M6J 1V1;+1 (416) 363-8888;\N;robbrown@shaw.ca;3
30;Edward;Francis;\N;230 Elgin Street;Ottawa;ON;Canada;K2P 1L7;+1 (613) 234-3322;\N;edfrancis@yachoo.ca;3
31;Martha;Silk;\N;194A Chain Lake Drive;Halifax;NS;Canada;B3S 1C5;+1 (902) 450-0450;\N;marthasilk@gmail.com;5
32;Aaron;Mitchell;\N;696 Osborne Street;Winnipeg;MB;Canada;R3L 2B9;+1 (204) 452-6452;\N;aaronmitchell@yahoo.ca;4
33;Ellie;Sullivan;\N;5112 48 Street;Yellowknife;NT;Canada;X1A 1N6;+1 (867) 920-2233;\N;ellie.sullivan@shaw.ca;3
39;Camille;Bernard;\N;4, Rue Milton;Paris;\N;France;75009;+33 01 49 70 65 65;\N;camille.bernard@yahoo.fr;4
40;Dominique;Lefebvre;\N;8, Rue Hanovre;Paris;\N;France;75002;+33 01 47 42 71 71;\N;dominiquelefebvre@gmail.com;4
41;Marc;Dubois;\N;11, Place Bellecour;Lyon;\N;France;69002;+33 04 78 30 30 30;\N;marc.dubois@hotmail.com;5
42;Wyatt;Girard;\N;9, Place Louis Barthou;Bordeaux;\N;France;33000;+33 05 56 96 96 96;\N;wyatt.girard@yahoo.fr;3
43;Isabelle;Mercier;\N;68, Rue Jouvence;Dijon;\N;France;21000;+33 03 80 73 66 99;\N;isabelle_mercier@apple.fr;3
46;Hugh;O'Reilly;\N;3 Chatham Street;Dublin;Dublin;Ireland;\N;+353 01 6792424;\N;hughoreilly@apple.ie;3
47;Lucas;Mancini;\N;Via Degli Scipioni, 43;Rome;RM;Italy;00192;+39 06 39733434;\N;lucas.mancini@yahoo.it;5
48;Johannes;Van der Berg;\N;Lijnbaansgracht 120bg;Amsterdam;VV;Netherlands;1016;+31 020 6223130;\N;johavanderberg@yahoo.nl;5
51;Joakim;Johansson;\N;Celsiusg. 9;Stockholm;\N;Sweden;11230;+46 08-651 52 52;\N;joakim.johansson@yahoo.se;5
52;Emma;Jones;\N;202 Hoxton Street;London;\N;United Kingdom;N1 5LH;+44 020 7707 0707;\N;emma_jones@hotmail.com;3
53;Phil;Hughes;\N;113 Lupus St;London;\N;United Kingdom;SW1V 3EN;+44 020 7976 5722;\N;phil.hughes@gmail.com;3
54;Steve;Murray;\N;110 Raeburn Pl;Edinburgh;\N;United Kingdom;EH4 1HH;+44 0131 315 3300;\N;steve.murray@yahoo.uk;5
55;Mark;Taylor;\N;421 Bourke Street;Sidney;NSW;Australia;2010;+61 (02) 9332 3633;\N;mark.taylor@yahoo.au;4
57;Luis;Rojas;\N;Calle Lira, 198;Santiago;\N;Chile;\N;+56 (0)2 635 4444;\N;luisrojas@yahoo.cl;5
58;Manoj;Pareek;\N;12,Community Centre;Delhi;\N;India;110017;+91 0124 39883988;\N;manoj.pareek@rediff.com;3
59;Puja;Srivastava;\N;3,Raj Bhavan Road;Bangalore;\N;India;560001;+91 080 22289999;\N;puja_srivastava@yahoo.in;3
60;Timothy;Sanchez;Blizzard;0385 Melvin Fall Apt. 745\nHannahborough, CO 94601-3249;Palooza;az;Guatemala;S6Z l6x;+502 51760149;1(780)836-9938;JenniferKennedy@gmail.com;4
61;Gabriel;Richardson;Google;03409 Holt Rapids Apt. 593\nPort Amanda, WY 98540;Palooza;az;USA;G1r c5O;+502 88837665;1(780)583-2264;AaronSmith@gmail.com;4
62;Catherine;Boyd;Microsoft;PSC 3200, Box 0870\nAPO AE 44034-4109;Palooza;ta;England;L7s f5S;+502 96016698;1(780)261-8260;MaryRandolph@gmail.com;7
63;Ryan;Powers;Microsoft;1082 Jason Neck\nDerekmouth, DC 06243;Guatemala City;ta;England;N5h m2M;+502 58507817;1(780)449-6281;TamaraMitchell@gmail.com;9
